amount,merchant,description,category
8594.81,1mg,Online purchase,Health
19557.82,Udemy,Monthly bill,Education
1175.49,MakeMyTrip,Flight booking,Travel
17385.44,Hotstar,Grocery shopping,Entertainment
11282.57,SBI,Rent payment,Rent
11832.86,Tata,Pharmacy order,Other
8234.4,Unacademy,Pharmacy order,Education
5642.61,Myntra,Weekend trip,Shopping
2456.46,Ola,Grocery shopping,Transport
2382.91,Netflix,Weekend trip,Entertainment
5858.01,Spotify,Electricity bill,Entertainment
1996.95,Hotstar,Flight booking,Entertainment
14438.82,Byju's,Electricity bill,Education
1068.08,Goibibo,Recharge,Travel
9782.69,RedBus,Weekend trip,Transport
12432.31,Cleartrip,Weekend trip,Travel
1261.88,Uber,Streaming subscription,Transport
9882.24,ICICI Bank,Recharge,Rent
8885.38,PharmEasy,Lunch,Health
3797.53,Unacademy,Grocery shopping,Education
10952.86,Zomato,Streaming subscription,Food
5778.87,MedPlus,Online purchase,Health
5599.15,Jio,Dinner,Utilities
3787.61,Swiggy,Doctor appointment,Food
19619.68,Rapido,Cab ride,Transport
6120.68,Google,Weekend trip,Other
10968.61,Cleartrip,Lunch,Travel
16610.73,BESCOM,Movie night,Utilities
12443.6,Flipkart,Lunch,Shopping
9689.61,Ola,Monthly bill,Transport
12466.04,Zomato,Pharmacy order,Food
2983.07,Byju's,Monthly bill,Education
260.67,IRCTC,Tuition fees,Travel
15357.42,McDonald's,Tuition fees,Food
9992.95,Spotify,Monthly bill,Entertainment
9097.26,HDFC Bank,Weekend trip,Rent
11812.98,Jio,Recharge,Utilities
6801.27,KFC,Movie night,Food
19329.34,Netflix,Cab ride,Entertainment
10403.42,BookMyShow,Online purchase,Entertainment
8107.49,Byju's,Recharge,Education
624.27,Hotstar,Movie night,Entertainment
5974.42,PharmEasy,Tuition fees,Health
10101.41,Apollo,Doctor appointment,Health
16213.99,HDFC Bank,Dinner,Rent
11277.38,MakeMyTrip,Electricity bill,Travel
7687.36,Unacademy,Grocery shopping,Education
9625.61,Jio,Recharge,Utilities
15808.91,ICICI Bank,Recharge,Rent
4276.33,Uber,Doctor appointment,Transport
7816.91,MakeMyTrip,Monthly bill,Travel
5877.05,Netflix,Rent payment,Entertainment
3887.85,IRCTC,Lunch,Travel
14575.02,Cleartrip,Streaming subscription,Travel
6419.19,MedPlus,Lunch,Health
9911.46,MedPlus,Lunch,Health
12904.18,MedPlus,Recharge,Health
4088.02,Myntra,Monthly bill,Shopping
8587.65,Ola,Flight booking,Transport
261.13,Airtel,Dinner,Utilities
9758.03,Ajio,Dinner,Shopping
8348.41,Apollo,Rent payment,Health
13035.48,Jio,Electricity bill,Utilities
14431.77,Cleartrip,Recharge,Travel
14044.21,Jio,Dinner,Utilities
16458.26,Amazon,Grocery shopping,Shopping
184.4,KFC,Cab ride,Food
6119.01,Spotify,Weekend trip,Entertainment
8713.0,McDonald's,Movie night,Food
2626.66,BESCOM,Recharge,Utilities
12331.17,Goibibo,Weekend trip,Travel
2943.2,MakeMyTrip,Rent payment,Travel
3037.19,Netflix,Doctor appointment,Entertainment
2257.57,HDFC Bank,Dinner,Rent
1504.17,Domino's,Weekend trip,Food
7645.71,RedBus,Movie night,Transport
18867.31,Zomato,Recharge,Food
13289.23,Flipkart,Grocery shopping,Shopping
1114.94,BWSSB,Monthly bill,Utilities
7461.47,RedBus,Electricity bill,Transport
18171.88,Zomato,Grocery shopping,Food
18471.56,Ola,Weekend trip,Transport
14955.84,Cleartrip,Online purchase,Travel
15239.1,RedBus,Lunch,Transport
14910.7,Coursera,Tuition fees,Education
9006.13,MedPlus,Pharmacy order,Health
4989.5,ICICI Bank,Pharmacy order,Rent
15108.17,BookMyShow,Rent payment,Entertainment
16642.09,1mg,Online purchase,Health
1735.0,BookMyShow,Grocery shopping,Entertainment
16706.33,Zomato,Flight booking,Food
18097.4,Uber,Recharge,Transport
151.93,HDFC Bank,Recharge,Rent
6677.41,Ajio,Dinner,Shopping
9097.96,Zomato,Streaming subscription,Food
17828.58,Domino's,Dinner,Food
8049.02,Microsoft,Recharge,Other
8380.45,Udemy,Monthly bill,Education
17563.07,Microsoft,Streaming subscription,Other
6422.8,ICICI Bank,Movie night,Rent
8600.41,BWSSB,Streaming subscription,Utilities
9807.15,Coursera,Rent payment,Education
14966.07,1mg,Grocery shopping,Health
16374.05,Apollo,Pharmacy order,Health
3851.23,Jio,Electricity bill,Utilities
12355.57,HDFC Bank,Tuition fees,Rent
2891.39,Amazon,Monthly bill,Shopping
6469.43,PharmEasy,Tuition fees,Health
13525.97,Apple,Grocery shopping,Other
17807.15,Ajio,Monthly bill,Shopping
17567.78,Amazon,Pharmacy order,Shopping
4819.93,Amazon,Rent payment,Shopping
1988.79,Coursera,Movie night,Education
15777.63,Hotstar,Electricity bill,Entertainment
2419.93,ICICI Bank,Streaming subscription,Rent
2061.56,Ajio,Streaming subscription,Shopping
17491.45,ICICI Bank,Streaming subscription,Rent
12222.2,Tata,Monthly bill,Other
19299.59,Cleartrip,Recharge,Travel
14808.15,Coursera,Doctor appointment,Education
4669.39,Cleartrip,Streaming subscription,Travel
18784.86,HDFC Bank,Doctor appointment,Rent
3291.82,Byju's,Flight booking,Education
427.89,Apple,Movie night,Other
9684.36,Coursera,Electricity bill,Education
740.06,ICICI Bank,Streaming subscription,Rent
19521.94,ICICI Bank,Tuition fees,Rent
12046.15,Microsoft,Grocery shopping,Other
14282.27,PharmEasy,Recharge,Health
14957.33,Jio,Recharge,Utilities
18529.0,PharmEasy,Dinner,Health
16144.75,Google,Tuition fees,Other
11615.02,BookMyShow,Lunch,Entertainment
14411.43,Goibibo,Pharmacy order,Travel
11649.35,Byju's,Cab ride,Education
13790.44,Flipkart,Dinner,Shopping
6628.65,Goibibo,Electricity bill,Travel
12454.78,RedBus,Monthly bill,Transport
6026.0,KFC,Streaming subscription,Food
12104.4,Amazon,Rent payment,Shopping
1089.47,MakeMyTrip,Streaming subscription,Travel
17548.56,BWSSB,Doctor appointment,Utilities
971.86,Udemy,Cab ride,Education
6327.89,Swiggy,Movie night,Food
18802.0,Airtel,Doctor appointment,Utilities
12621.58,Google,Weekend trip,Other
14643.88,Myntra,Tuition fees,Shopping
18751.82,MedPlus,Cab ride,Health
10907.1,Google,Dinner,Other
3893.4,Flipkart,Recharge,Shopping
14916.45,Spotify,Flight booking,Entertainment
8719.96,Udemy,Movie night,Education
19734.44,Zomato,Lunch,Food
237.77,Byju's,Flight booking,Education
19173.41,Cleartrip,Online purchase,Travel
14374.02,Myntra,Cab ride,Shopping
9971.79,BESCOM,Monthly bill,Utilities
12357.85,Zomato,Cab ride,Food
7727.87,RedBus,Flight booking,Transport
18028.28,Coursera,Movie night,Education
17272.05,MakeMyTrip,Rent payment,Travel
2609.83,Flipkart,Monthly bill,Shopping
7609.06,BESCOM,Lunch,Utilities
12646.8,BookMyShow,Monthly bill,Entertainment
1082.19,Swiggy,Streaming subscription,Food
2674.91,Rapido,Weekend trip,Transport
5600.32,Paytm,Grocery shopping,Rent
15483.42,Ola,Pharmacy order,Transport
18944.0,Rapido,Lunch,Transport
17493.23,SBI,Tuition fees,Rent
16644.62,Paytm,Lunch,Rent
6798.45,MakeMyTrip,Cab ride,Travel
3484.58,Tata,Dinner,Other
14184.87,KFC,Electricity bill,Food
7482.44,BWSSB,Lunch,Utilities
3682.14,KFC,Streaming subscription,Food
15779.94,BookMyShow,Recharge,Entertainment
16816.26,Cleartrip,Weekend trip,Travel
703.66,PharmEasy,Grocery shopping,Health
6239.72,Unacademy,Electricity bill,Education
10822.73,McDonald's,Dinner,Food
10967.11,Unacademy,Doctor appointment,Education
2372.78,Ola,Monthly bill,Transport
8680.19,PharmEasy,Pharmacy order,Health
10210.94,Netflix,Grocery shopping,Entertainment
13170.59,Hotstar,Electricity bill,Entertainment
1863.15,HDFC Bank,Electricity bill,Rent
15591.69,Google,Weekend trip,Other
11567.0,Apollo,Pharmacy order,Health
14286.04,Amazon,Lunch,Shopping
715.48,MakeMyTrip,Electricity bill,Travel
4932.4,1mg,Grocery shopping,Health
10715.87,Microsoft,Lunch,Other
15519.72,ICICI Bank,Cab ride,Rent
7819.53,Unacademy,Weekend trip,Education
6230.42,Goibibo,Online purchase,Travel
13455.46,Uber,Recharge,Transport
9742.04,Jio,Movie night,Utilities
428.53,Netflix,Streaming subscription,Entertainment
1251.18,Airtel,Flight booking,Utilities
3765.17,ICICI Bank,Weekend trip,Rent
9523.77,Apple,Online purchase,Other
7447.93,Cleartrip,Recharge,Travel
13453.95,Netflix,Rent payment,Entertainment
6654.92,Ola,Cab ride,Transport
19736.48,Spotify,Weekend trip,Entertainment
16626.18,PharmEasy,Flight booking,Health
13564.68,ICICI Bank,Dinner,Rent
13401.29,Tata,Pharmacy order,Other
1837.71,Paytm,Pharmacy order,Rent
7502.92,Rapido,Cab ride,Transport
19682.91,Microsoft,Dinner,Other
16486.72,Google,Online purchase,Other
10010.66,Jio,Streaming subscription,Utilities
10580.55,IRCTC,Cab ride,Travel
5604.76,KFC,Dinner,Food
15677.84,Unacademy,Flight booking,Education
5532.14,Rapido,Movie night,Transport
3297.88,Myntra,Pharmacy order,Shopping
254.59,Ola,Movie night,Transport
2567.49,Unacademy,Cab ride,Education
6334.17,McDonald's,Pharmacy order,Food
18120.35,Zomato,Recharge,Food
5886.35,Jio,Recharge,Utilities
14854.5,Udemy,Cab ride,Education
511.11,BESCOM,Online purchase,Utilities
5148.14,BookMyShow,Movie night,Entertainment
1326.29,1mg,Lunch,Health
7760.82,Byju's,Monthly bill,Education
4973.49,SBI,Rent payment,Rent
1172.16,Coursera,Doctor appointment,Education
10628.87,Myntra,Doctor appointment,Shopping
18878.65,ICICI Bank,Monthly bill,Rent
609.58,Byju's,Lunch,Education
12455.06,Google,Recharge,Other
712.63,Tata,Tuition fees,Other
17107.43,1mg,Rent payment,Health
8918.83,Jio,Recharge,Utilities
13205.94,BESCOM,Flight booking,Utilities
6885.14,BookMyShow,Monthly bill,Entertainment
14116.05,Netflix,Online purchase,Entertainment
18011.46,Uber,Flight booking,Transport
1251.28,MedPlus,Electricity bill,Health
17834.53,PharmEasy,Weekend trip,Health
19458.31,Byju's,Doctor appointment,Education
10559.26,RedBus,Rent payment,Transport
9099.99,Zomato,Movie night,Food
14561.71,ICICI Bank,Cab ride,Rent
12843.2,HDFC Bank,Lunch,Rent
9349.45,SBI,Weekend trip,Rent
10675.83,Ajio,Dinner,Shopping
4681.08,Hotstar,Dinner,Entertainment
8869.09,ICICI Bank,Streaming subscription,Rent
2020.81,Google,Monthly bill,Other
17106.41,Apple,Grocery shopping,Other
9424.29,IRCTC,Tuition fees,Travel
16693.58,Byju's,Grocery shopping,Education
526.32,Udemy,Online purchase,Education
15161.14,BESCOM,Grocery shopping,Utilities
15446.89,Google,Movie night,Other
1843.28,MedPlus,Grocery shopping,Health
10252.63,Udemy,Cab ride,Education
4260.72,Flipkart,Streaming subscription,Shopping
14921.44,Coursera,Pharmacy order,Education
6242.65,BESCOM,Doctor appointment,Utilities
15442.24,Cleartrip,Pharmacy order,Travel
2247.23,HDFC Bank,Dinner,Rent
9731.56,Spotify,Tuition fees,Entertainment
12218.99,IRCTC,Dinner,Travel
10981.64,IRCTC,Dinner,Travel
9808.89,KFC,Dinner,Food
9353.78,Airtel,Recharge,Utilities
3579.97,Apple,Streaming subscription,Other
7351.02,BESCOM,Doctor appointment,Utilities
19198.84,Byju's,Lunch,Education
11843.73,Airtel,Pharmacy order,Utilities
650.04,Cleartrip,Doctor appointment,Travel
18074.01,Ola,Cab ride,Transport
7876.81,Flipkart,Lunch,Shopping
5612.79,Apple,Online purchase,Other
19092.26,Tata,Doctor appointment,Other
11986.97,McDonald's,Monthly bill,Food
11521.76,Google,Movie night,Other
11907.89,IRCTC,Lunch,Travel
5015.67,MedPlus,Doctor appointment,Health
543.29,Udemy,Doctor appointment,Education
11399.16,Netflix,Doctor appointment,Entertainment
11110.43,Hotstar,Online purchase,Entertainment
1846.67,Hotstar,Movie night,Entertainment
8260.72,SBI,Monthly bill,Rent
10418.71,Byju's,Rent payment,Education
5477.4,Udemy,Recharge,Education
12576.01,BWSSB,Monthly bill,Utilities
14824.61,Amazon,Rent payment,Shopping
16178.2,BookMyShow,Flight booking,Entertainment
3832.7,BESCOM,Pharmacy order,Utilities
16146.89,Cleartrip,Dinner,Travel
11104.59,Jio,Lunch,Utilities
15381.65,PharmEasy,Streaming subscription,Health
11642.11,PharmEasy,Lunch,Health
3363.46,Udemy,Monthly bill,Education
15337.31,Zomato,Doctor appointment,Food
16256.72,Coursera,Monthly bill,Education
7721.68,Cleartrip,Pharmacy order,Travel
14285.8,BESCOM,Recharge,Utilities
10824.04,HDFC Bank,Dinner,Rent
3289.68,Paytm,Tuition fees,Rent
15946.19,Ajio,Dinner,Shopping
6977.55,Goibibo,Cab ride,Travel
4722.29,Ola,Pharmacy order,Transport
13222.94,Tata,Streaming subscription,Other
19414.18,McDonald's,Online purchase,Food
1913.67,Myntra,Cab ride,Shopping
15814.36,Hotstar,Monthly bill,Entertainment
4681.91,Flipkart,Doctor appointment,Shopping
18361.26,Ola,Tuition fees,Transport
9789.14,Cleartrip,Weekend trip,Travel
15184.52,Coursera,Lunch,Education
11342.84,Netflix,Movie night,Entertainment
10150.11,Myntra,Recharge,Shopping
9102.88,McDonald's,Cab ride,Food
2091.89,Domino's,Streaming subscription,Food
10709.53,HDFC Bank,Flight booking,Rent
3273.12,Coursera,Monthly bill,Education
3085.38,BESCOM,Flight booking,Utilities
17202.75,Ola,Flight booking,Transport
5953.89,Microsoft,Movie night,Other
16654.12,Tata,Recharge,Other
10351.13,Paytm,Movie night,Rent
11033.83,Ajio,Pharmacy order,Shopping
8718.64,Udemy,Electricity bill,Education
19482.72,BookMyShow,Flight booking,Entertainment
19855.54,Airtel,Rent payment,Utilities
11222.08,BookMyShow,Grocery shopping,Entertainment
1753.29,Netflix,Streaming subscription,Entertainment
5348.54,Amazon,Streaming subscription,Shopping
16232.69,MedPlus,Doctor appointment,Health
3357.93,Apollo,Recharge,Health
356.32,Google,Lunch,Other
10025.1,Ajio,Lunch,Shopping
9930.52,SBI,Tuition fees,Rent
19673.01,Apple,Weekend trip,Other
14261.44,Coursera,Recharge,Education
13919.42,Domino's,Pharmacy order,Food
16968.62,BookMyShow,Rent payment,Entertainment
5996.11,IRCTC,Tuition fees,Travel
11039.47,Airtel,Rent payment,Utilities
6647.67,Coursera,Pharmacy order,Education
16855.55,Goibibo,Grocery shopping,Travel
3998.66,Ola,Rent payment,Transport
10058.39,Swiggy,Pharmacy order,Food
13259.2,Cleartrip,Dinner,Travel
6065.36,BWSSB,Recharge,Utilities
14476.66,Tata,Online purchase,Other
10753.37,Cleartrip,Doctor appointment,Travel
19283.16,McDonald's,Grocery shopping,Food
9568.39,BookMyShow,Grocery shopping,Entertainment
4860.39,Byju's,Weekend trip,Education
13649.41,Swiggy,Doctor appointment,Food
3489.64,Jio,Lunch,Utilities
5334.36,Ola,Flight booking,Transport
12910.65,Goibibo,Flight booking,Travel
4040.8,Swiggy,Doctor appointment,Food
16722.84,Airtel,Rent payment,Utilities
3674.56,SBI,Dinner,Rent
10256.9,MakeMyTrip,Flight booking,Travel
19744.44,KFC,Electricity bill,Food
13446.17,McDonald's,Flight booking,Food
17130.66,ICICI Bank,Weekend trip,Rent
7837.71,Airtel,Grocery shopping,Utilities
8614.38,Spotify,Weekend trip,Entertainment
15951.21,IRCTC,Flight booking,Travel
2584.26,Goibibo,Tuition fees,Travel
18901.59,SBI,Electricity bill,Rent
3985.97,1mg,Electricity bill,Health
11767.66,Swiggy,Cab ride,Food
17915.45,MakeMyTrip,Monthly bill,Travel
8572.82,Airtel,Electricity bill,Utilities
103.83,Coursera,Weekend trip,Education
3351.77,Unacademy,Dinner,Education
19220.13,BWSSB,Pharmacy order,Utilities
13356.33,RedBus,Doctor appointment,Transport
14074.37,Domino's,Tuition fees,Food
10094.38,Goibibo,Electricity bill,Travel
7395.35,KFC,Flight booking,Food
7997.52,IRCTC,Grocery shopping,Travel
9290.11,Ola,Recharge,Transport
9593.14,Domino's,Online purchase,Food
16050.72,Swiggy,Grocery shopping,Food
17345.29,Paytm,Tuition fees,Rent
4163.4,Coursera,Cab ride,Education
18744.56,Google,Dinner,Other
5227.52,Byju's,Rent payment,Education
3417.13,Apple,Pharmacy order,Other
17231.8,Hotstar,Flight booking,Entertainment
10960.03,Microsoft,Streaming subscription,Other
15012.99,KFC,Streaming subscription,Food
8289.88,Airtel,Doctor appointment,Utilities
10821.53,BESCOM,Dinner,Utilities
8466.33,Airtel,Weekend trip,Utilities
5305.23,Rapido,Monthly bill,Transport
17628.29,Apollo,Online purchase,Health
5187.33,Flipkart,Lunch,Shopping
103.94,Coursera,Recharge,Education
19746.58,Ola,Flight booking,Transport
12080.79,MakeMyTrip,Online purchase,Travel
2186.76,1mg,Electricity bill,Health
6494.16,MedPlus,Cab ride,Health
10343.14,Flipkart,Doctor appointment,Shopping
5141.03,Apple,Monthly bill,Other
12496.18,Google,Weekend trip,Other
16967.55,PharmEasy,Movie night,Health
2367.07,Cleartrip,Pharmacy order,Travel
672.66,Netflix,Flight booking,Entertainment
10518.23,BESCOM,Flight booking,Utilities
240.71,Uber,Electricity bill,Transport
7424.55,BWSSB,Flight booking,Utilities
11102.08,Udemy,Cab ride,Education
8347.25,Flipkart,Lunch,Shopping
132.12,Hotstar,Flight booking,Entertainment
7262.69,MakeMyTrip,Movie night,Travel
19184.83,1mg,Lunch,Health
17834.73,Goibibo,Cab ride,Travel
16072.55,BESCOM,Grocery shopping,Utilities
13259.23,Flipkart,Recharge,Shopping
15895.35,McDonald's,Dinner,Food
17821.57,RedBus,Cab ride,Transport
8618.77,Byju's,Dinner,Education
13550.21,Netflix,Rent payment,Entertainment
1769.92,Ola,Weekend trip,Transport
18750.25,Flipkart,Doctor appointment,Shopping
6627.04,1mg,Online purchase,Health
17992.48,SBI,Online purchase,Rent
5815.71,Tata,Dinner,Other
16803.07,BWSSB,Monthly bill,Utilities
2993.03,Udemy,Online purchase,Education
1652.97,IRCTC,Electricity bill,Travel
12772.73,MedPlus,Online purchase,Health
3293.76,Cleartrip,Rent payment,Travel
2668.11,Google,Recharge,Other
12230.58,Myntra,Grocery shopping,Shopping
201.81,Unacademy,Grocery shopping,Education
9989.6,Unacademy,Streaming subscription,Education
18428.03,1mg,Lunch,Health
19137.61,Ajio,Monthly bill,Shopping
18911.04,Coursera,Doctor appointment,Education
18373.56,Jio,Grocery shopping,Utilities
12443.0,BESCOM,Weekend trip,Utilities
12874.3,RedBus,Lunch,Transport
3291.67,BESCOM,Electricity bill,Utilities
9927.48,Udemy,Streaming subscription,Education
7742.22,Jio,Weekend trip,Utilities
18903.22,Spotify,Grocery shopping,Entertainment
19107.76,Byju's,Rent payment,Education
10622.78,KFC,Recharge,Food
2566.17,ICICI Bank,Tuition fees,Rent
16879.07,Hotstar,Lunch,Entertainment
14123.23,Amazon,Monthly bill,Shopping
9144.97,Netflix,Flight booking,Entertainment
15643.97,KFC,Online purchase,Food
13467.25,BookMyShow,Rent payment,Entertainment
15929.45,KFC,Weekend trip,Food
525.17,Domino's,Cab ride,Food
11168.36,1mg,Cab ride,Health
3460.59,1mg,Pharmacy order,Health
7360.25,Jio,Monthly bill,Utilities
558.23,Domino's,Online purchase,Food
7427.1,Hotstar,Monthly bill,Entertainment
2861.22,Apollo,Flight booking,Health
2446.18,Myntra,Dinner,Shopping
4821.24,BWSSB,Online purchase,Utilities
13906.82,Airtel,Dinner,Utilities
18131.55,BookMyShow,Monthly bill,Entertainment
16616.7,Udemy,Doctor appointment,Education
19698.26,Apple,Lunch,Other
14711.87,Domino's,Cab ride,Food
18737.48,ICICI Bank,Electricity bill,Rent
16113.81,Airtel,Electricity bill,Utilities
14421.9,Flipkart,Online purchase,Shopping
18142.79,Unacademy,Cab ride,Education
18318.42,Netflix,Grocery shopping,Entertainment
15674.3,Google,Dinner,Other
6623.04,McDonald's,Lunch,Food
17896.81,Netflix,Electricity bill,Entertainment
16711.87,Airtel,Flight booking,Utilities
18256.49,Myntra,Tuition fees,Shopping
3329.32,RedBus,Tuition fees,Transport
16265.35,Ajio,Monthly bill,Shopping
3119.45,Apple,Doctor appointment,Other
1057.58,Cleartrip,Movie night,Travel
9957.83,MakeMyTrip,Recharge,Travel
8066.25,Byju's,Lunch,Education
12227.37,Byju's,Online purchase,Education
19932.28,Domino's,Doctor appointment,Food
12154.91,Rapido,Online purchase,Transport
16223.59,Ajio,Lunch,Shopping
17757.67,KFC,Lunch,Food
4396.7,Spotify,Online purchase,Entertainment
2112.11,Paytm,Dinner,Rent
8919.92,Paytm,Monthly bill,Rent
5369.8,IRCTC,Movie night,Travel
14791.65,Apollo,Online purchase,Health
6747.12,KFC,Online purchase,Food
12034.57,IRCTC,Doctor appointment,Travel
7420.53,Unacademy,Monthly bill,Education
6027.9,Ajio,Flight booking,Shopping
17164.05,Rapido,Lunch,Transport
13391.76,BESCOM,Tuition fees,Utilities
2074.19,RedBus,Rent payment,Transport
2109.12,Uber,Streaming subscription,Transport
8175.22,ICICI Bank,Tuition fees,Rent
3620.71,Apple,Electricity bill,Other
16229.31,Udemy,Lunch,Education
7268.02,Goibibo,Weekend trip,Travel
17613.56,Tata,Pharmacy order,Other
15659.61,Byju's,Grocery shopping,Education
8774.16,ICICI Bank,Doctor appointment,Rent
13207.72,Amazon,Online purchase,Shopping
17189.15,Rapido,Flight booking,Transport
5774.83,Ola,Flight booking,Transport
13714.17,Netflix,Weekend trip,Entertainment
2510.27,HDFC Bank,Online purchase,Rent
