amount,merchant,description,category
4970.6,Netflix,subscription at Netflix,Entertainment
2876.08,Ajio,electronics at Ajio,Shopping
523.16,Swiggy,lunch at Swiggy,Dining
729.44,Barbeque Nation,snack at Barbeque Nation,Dining
2857.09,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
571.72,Flipkart,clothes at Flipkart,Shopping
278.58,DMart,monthly ration at DMart,Groceries
1220.61,Flipkart,clothes at Flipkart,Shopping
4126.94,PractO,doctor visit at PractO,Healthcare
1786.24,Netmeds,doctor visit at Netmeds,Healthcare
1266.17,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
153.34,Indian Oil,DIESEL AT INDIAN OIL,Fuel
1431.8,Myntra,HOME DECOR AT MYNTRA,Shopping
6915.85,Big Bazaar,monthly ration at Big Bazaar,Groceries
226.38,Flipkart,home decor at Flipkart,Shopping
1095.74,Netmeds,consultation at Netmeds,Healthcare
3147.91,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
2025.05,Zomato,lunch at Zomato,Dining
1791.11,Swiggy,food delivery at Swiggy,Dining
1818.43,Ola,train ticket at Ola,Travel
668.24,DMart,milk at DMart,Groceries
521.34,Barbeque Nation,dinner at Barbeque Nation,Dining
2486.06,Uber,flight at Uber,Travel
2491.99,Unacademy,study material at Unacademy,Education
3026.93,BESCOM,electricity bill at BESCOM,Utilities
3666.92,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
1074.14,Zomato,food delivery at Zomato,Dining
1044.28,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
2401.42,DMart,vegetables at DMart,Groceries
1574.58,Netflix,subscription at Netflix,Entertainment
1815.83,unacademy,study material at Unacademy,Education
2382.93,Uber,flight at Uber,Travel
3310.99,Mahanagar Gas,internet at Mahanagar Gas,Utilities
618.72,RedBus,flight at RedBus,Travel
706.41,BookMyShow,concert at BookMyShow,Entertainment
148.04,Swiggy,lunch at Swiggy,Dining
1295.12,DMart,bread at DMart,Groceries
54.91,RedBus,cab fare at RedBus,Travel
939.91,Spotify,games at Spotify,Entertainment
1173.44,spotify,movie at Spotify,Entertainment
506.45,PhonePe,recharge at PhonePe,Others
1340.45,Airtel,internet at Airtel,Utilities
46.46,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
57.1,BYJU'S,study material at BYJU'S,Education
2594.03,RedBus,BUS TICKET AT REDBUS,Travel
669.88,phonepe,recharge at PhonePe,Others
203.83,IRCTC,train ticket at IRCTC,Travel
1107.98,RedBus,train ticket at RedBus,Travel
2204.47,Hotstar,games at Hotstar,Entertainment
364.68,Tata Power,electricity bill at Tata Power,Utilities
1462.83,Coursera,course fee at Coursera,Education
133.82,BookMyShow,movie at BookMyShow,Entertainment
79.6,Flipkart,clothes at Flipkart,Shopping
1136.86,BookMyShow,concert at BookMyShow,Entertainment
1166.87,Domino's,lunch at Domino's,Dining
1521.81,Vedantu,subscription at Vedantu,Education
1942.44,Big Bazaar,monthly ration at Big Bazaar,Groceries
5585.34,Uber,train ticket at Uber,Travel
1089.44,Coursera,subscription at Coursera,Education
585.03,Amazon,clothes at Amazon,Shopping
2378.48,Uber,CAB FARE AT UBER,Travel
473.78,Flipkart,electronics at Flipkart,Shopping
866.98,Zomato,dinner at Zomato,Dining
122.56,IRCTC,cab fare at IRCTC,Travel
38.52,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
4931.07,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
2711.65,airtel,gas bill at Airtel,Utilities
1785.96,Google Pay,payment at Google Pay,Others
788.79,Paytm,payment at Paytm,Others
285.46,Uber,cab fare at Uber,Travel
255.18,Uber,flight at Uber,Travel
432.01,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
1195.19,Barbeque Nation,food delivery at Barbeque Nation,Dining
1880.77,Ola,train ticket at Ola,Travel
1619.09,IRCTC,cab fare at IRCTC,Travel
492.62,Tata Power,GAS BILL AT TATA POWER,Utilities
4647.16,Uber,flight at Uber,Travel
2008.53,Unacademy,subscription at Unacademy,Education
1212.35,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
1419.05,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
816.06,Barbeque Nation,food delivery at Barbeque Nation,Dining
426.99,BookMyShow,concert at BookMyShow,Entertainment
660.02,1mg,consultation at 1mg,Healthcare
2127.27,Paytm,payment at Paytm,Others
21.75,Zomato,lunch at Zomato,Dining
185.07,Netmeds,consultation at Netmeds,Healthcare
70.64,Paytm,recharge at Paytm,Others
62.37,BookMyShow,concert at BookMyShow,Entertainment
2901.3,RedBus,flight at RedBus,Travel
1824.36,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
964.18,Reliance Fresh,milk at Reliance Fresh,Groceries
154.44,PractO,consultation at PractO,Healthcare
1014.78,Tata Power,electricity bill at Tata Power,Utilities
962.18,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
285.29,More Supermarket,bread at More Supermarket,Groceries
853.35,More Supermarket,vegetables at More Supermarket,Groceries
762.5,Mahanagar Gas,internet at Mahanagar Gas,Utilities
1435.08,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
1512.17,Myntra,home decor at Myntra,Shopping
69.54,IRCTC,cab fare at IRCTC,Travel
704.08,Netflix,games at Netflix,Entertainment
1474.69,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
1049.16,PractO,health checkup at PractO,Healthcare
2912.02,Netmeds,medicine at Netmeds,Healthcare
1612.46,Myntra,home decor at Myntra,Shopping
266.78,BookMyShow,movie at BookMyShow,Entertainment
109.77,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
1542.59,Amazon,home decor at Amazon,Shopping
40.3,Indian Oil,diesel at Indian Oil,Fuel
1322.02,Zomato,dinner at Zomato,Dining
4225.88,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
1285.17,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
736.95,Hotstar,concert at Hotstar,Entertainment
1546.24,Paytm,recharge at Paytm,Others
919.43,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1183.22,Barbeque Nation,snack at Barbeque Nation,Dining
4257.19,Tata Power,electricity bill at Tata Power,Utilities
731.89,Uber,train ticket at Uber,Travel
4873.64,Zomato,snack at Zomato,Dining
3536.36,unacademy,subscription at Unacademy,Education
326.84,More Supermarket,vegetables at More Supermarket,Groceries
107.83,Unacademy,subscription at Unacademy,Education
159.34,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
27.58,Domino's,food delivery at Domino's,Dining
148.81,PhonePe,transfer at PhonePe,Others
1723.31,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
110.77,Amazon,home decor at Amazon,Shopping
576.24,Spotify,subscription at Spotify,Entertainment
2795.29,PractO,health checkup at PractO,Healthcare
35.32,Zomato,LUNCH AT ZOMATO,Dining
2526.8,Netmeds,consultation at Netmeds,Healthcare
496.63,RedBus,cab fare at RedBus,Travel
188.63,Google Pay,transfer at Google Pay,Others
1789.73,More Supermarket,milk at More Supermarket,Groceries
1487.1,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
3149.12,Netmeds,consultation at Netmeds,Healthcare
1992.44,DMart,vegetables at DMart,Groceries
2440.49,Uber,train ticket at Uber,Travel
497,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
293,Spotify,movie at Spotify,Entertainment
2083.13,PhonePe,transfer at PhonePe,Others
2466.31,Spotify,subscription at Spotify,Entertainment
6985.51,Paytm,transfer at Paytm,Others
798.12,Netflix,games at Netflix,Entertainment
697.87,Flipkart,electronics at Flipkart,Shopping
2246.93,BYJU'S,study material at BYJU'S,Education
625.1,1mg,medicine at 1mg,Healthcare
4005.21,Indian Oil,diesel at Indian Oil,Fuel
2932.26,Flipkart,clothes at Flipkart,Shopping
840.53,BookMyShow,movie at BookMyShow,Entertainment
2084.68,Ola,train ticket at Ola,Travel
2106.95,Myntra,footwear at Myntra,Shopping
163.26,PractO,consultation at PractO,Healthcare
3492.67,Unacademy,study material at Unacademy,Education
1055.56,Coursera,subscription at Coursera,Education
2627,BESCOM,internet at BESCOM,Utilities
578.6,Indian Oil,petrol at Indian Oil,Fuel
3388.19,DMart,monthly ration at DMart,Groceries
739.48,BookMyShow,subscription at BookMyShow,Entertainment
16.35,Netmeds,doctor visit at Netmeds,Healthcare
3536.86,Coursera,course fee at Coursera,Education
143.59,BookMyShow,movie at BookMyShow,Entertainment
576.98,Vedantu,course fee at Vedantu,Education
4495.46,Indian Oil,fuel refill at Indian Oil,Fuel
4511.92,Vedantu,course fee at Vedantu,Education
1278,Amazon,electronics at Amazon,Shopping
1498.85,Paytm,transfer at Paytm,Others
892.52,Paytm,payment at Paytm,Others
520.53,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
597.73,Amazon,electronics at Amazon,Shopping
1674.49,More Supermarket,monthly ration at More Supermarket,Groceries
2093.76,Coursera,course fee at Coursera,Education
2352.29,Zomato,snack at Zomato,Dining
2338.25,RedBus,train ticket at RedBus,Travel
143.46,More Supermarket,bread at More Supermarket,Groceries
1023.07,Airtel,internet at Airtel,Utilities
88.92,Coursera,COURSE FEE AT COURSERA,Education
1196.19,Google Pay,transfer at Google Pay,Others
873.83,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
3279.93,Coursera,course fee at Coursera,Education
648.29,Netmeds,doctor visit at Netmeds,Healthcare
186.76,Domino's,food delivery at Domino's,Dining
231.46,Ola,bus ticket at Ola,Travel
2150.15,Unacademy,course fee at Unacademy,Education
1444.36,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
159.91,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
131.78,Ajio,clothes at Ajio,Shopping
1810.81,Indian Oil,fuel refill at Indian Oil,Fuel
113.32,Paytm,payment at Paytm,Others
2587.78,PhonePe,payment at PhonePe,Others
1837.5,IRCTC,flight at IRCTC,Travel
127.27,BookMyShow,subscription at BookMyShow,Entertainment
132.98,Swiggy,lunch at Swiggy,Dining
6473.19,PhonePe,transfer at PhonePe,Others
703.26,Vedantu,course fee at Vedantu,Education
694.58,BYJU'S,course fee at BYJU'S,Education
2513.36,Netflix,subscription at Netflix,Entertainment
4413.25,DMart,vegetables at DMart,Groceries
6403.16,Vedantu,subscription at Vedantu,Education
2099.85,IRCTC,bus ticket at IRCTC,Travel
708.03,Ajio,clothes at Ajio,Shopping
130.79,DMart,vegetables at DMart,Groceries
2251.86,Uber,flight at Uber,Travel
1226.04,IRCTC,train ticket at IRCTC,Travel
828.05,PhonePe,payment at PhonePe,Others
3552.36,Hotstar,subscription at Hotstar,Entertainment
176.82,More Supermarket,vegetables at More Supermarket,Groceries
1017.76,Ajio,footwear at Ajio,Shopping
17.13,Netflix,games at Netflix,Entertainment
948.53,Unacademy,subscription at Unacademy,Education
86.93,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
189.74,Uber,cab fare at Uber,Travel
187.54,PhonePe,recharge at PhonePe,Others
1571.35,Uber,flight at Uber,Travel
2055.9,Google Pay,transfer at Google Pay,Others
1313.33,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
4912.08,Paytm,payment at Paytm,Others
704.69,PractO,medicine at PractO,Healthcare
504.7,Unacademy,course fee at Unacademy,Education
3044.25,Hotstar,concert at Hotstar,Entertainment
379.62,Reliance Fresh,vegetables at Reliance Fresh,Groceries
4954.31,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
18.34,DMart,bread at DMart,Groceries
5253.79,BookMyShow,games at BookMyShow,Entertainment
66.18,Big Bazaar,milk at Big Bazaar,Groceries
3326.58,ajio,electronics at Ajio,Shopping
1125.21,Domino's,lunch at Domino's,Dining
7435.24,Barbeque Nation,lunch at Barbeque Nation,Dining
114.99,Spotify,subscription at Spotify,Entertainment
1210.66,Netmeds,doctor visit at Netmeds,Healthcare
5225.36,1mg,medicine at 1mg,Healthcare
1110.67,Airtel,internet at Airtel,Utilities
1488.94,Myntra,home decor at Myntra,Shopping
1784.85,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
909.19,Domino's,snack at Domino's,Dining
1481.51,Ola,flight at Ola,Travel
1316.74,Indian Oil,diesel at Indian Oil,Fuel
3471.35,Uber,train ticket at Uber,Travel
69.77,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
494.76,PhonePe,recharge at PhonePe,Others
4505.99,Paytm,payment at Paytm,Others
3314.51,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
912.26,1mg,medicine at 1mg,Healthcare
1451.9,Airtel,mobile recharge at Airtel,Utilities
487.31,practo,health checkup at PractO,Healthcare
312.61,Big Bazaar,milk at Big Bazaar,Groceries
934.59,Netmeds,health checkup at Netmeds,Healthcare
653.93,Google Pay,recharge at Google Pay,Others
1314.37,BESCOM,internet at BESCOM,Utilities
121.38,Zomato,lunch at Zomato,Dining
5497.44,Amazon,electronics at Amazon,Shopping
6425.8,BookMyShow,games at BookMyShow,Entertainment
1796.8,practo,doctor visit at PractO,Healthcare
1152.12,Google Pay,recharge at Google Pay,Others
555.57,Uber,flight at Uber,Travel
2521.36,Hotstar,games at Hotstar,Entertainment
1731.49,Myntra,electronics at Myntra,Shopping
266.21,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
3627.45,Spotify,games at Spotify,Entertainment
2593.49,BYJU'S,course fee at BYJU'S,Education
4487.61,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1940.41,BYJU'S,subscription at BYJU'S,Education
1425.61,Airtel,gas bill at Airtel,Utilities
812.55,Ola,CAB FARE AT OLA,Travel
4048.53,1mg,health checkup at 1mg,Healthcare
3015.59,Tata Power,mobile recharge at Tata Power,Utilities
69.41,Barbeque Nation,dinner at Barbeque Nation,Dining
40.08,Flipkart,HOME DECOR AT FLIPKART,Shopping
708.52,PhonePe,payment at PhonePe,Others
2495.47,Unacademy,course fee at Unacademy,Education
6546.41,IRCTC,cab fare at IRCTC,Travel
244.51,PhonePe,PAYMENT AT PHONEPE,Others
1352.59,PhonePe,transfer at PhonePe,Others
719.21,Barbeque Nation,SNACK AT BARBEQUE NATION,Dining
5255.56,Coursera,subscription at Coursera,Education
2768.87,Swiggy,dinner at Swiggy,Dining
2733.29,IRCTC,bus ticket at IRCTC,Travel
948.62,Swiggy,DINNER AT SWIGGY,Dining
803.75,Flipkart,electronics at Flipkart,Shopping
479.08,More Supermarket,milk at More Supermarket,Groceries
87.04,Paytm,recharge at Paytm,Others
3000.64,Flipkart,home decor at Flipkart,Shopping
2514.18,Unacademy,course fee at Unacademy,Education
12258.67,BookMyShow,CONCERT AT BOOKMYSHOW,Entertainment
8542.31,Domino's,lunch at Domino's,Dining
1215.98,Indian Oil,petrol at Indian Oil,Fuel
2197.92,More Supermarket,milk at More Supermarket,Groceries
4344.26,Netmeds,health checkup at Netmeds,Healthcare
2842.16,Tata Power,mobile recharge at Tata Power,Utilities
426.23,PhonePe,payment at PhonePe,Others
898.24,Uber,cab fare at Uber,Travel
